IndexType,IndexUnique,Operation,ListType,numElements,ExperimentNumber,Duration,NumNodes
new,Unique,insert,increasing,1000000,4,92,2308
new,Unique,insert_write,increasing,1000000,4,341,2308
new,Unique,insert,increasing,1000000,5,90,2308
new,Unique,insert_write,increasing,1000000,5,339,2308
new,Unique,insert,increasing,1000000,6,152,2308
new,Unique,insert_write,increasing,1000000,6,338,2308
new,Unique,insert,increasing,1000000,7,89,2308
new,Unique,insert_write,increasing,1000000,7,339,2308
new,Unique,insert,increasing,1000000,8,91,2308
new,Unique,insert_write,increasing,1000000,8,339,2308
new,Unique,insert,increasing,1000000,9,158,2308
new,Unique,insert_write,increasing,1000000,9,341,2308
new,Unique,insert,increasing,1000000,10,90,2308
new,Unique,insert_write,increasing,1000000,10,2508,2308
new,Unique,search,random,100000,0,120,499
new,Unique,search,random,100000,1,58,499
new,Unique,search,random,100000,2,32,499
new,Unique,search,random,100000,3,47,499
new,Unique,search,random,100000,4,28,499
new,Unique,search,random,100000,5,28,499
new,Unique,search,random,100000,6,31,499
new,Unique,search,random,100000,7,30,499
new,Unique,search,random,100000,8,36,499
new,Unique,search,random,100000,9,34,499
new,Unique,search,random,100000,10,28,499
new,Unique,remove,random,200000,0,192,98
new,Unique,remove,random,200000,1,114,96
new,Unique,remove,random,200000,2,122,97
new,Unique,remove,random,200000,3,149,93
new,Unique,remove,random,200000,4,108,96
new,Unique,remove,random,200000,5,118,98
new,Unique,remove,random,200000,6,115,96
new,Unique,remove,random,200000,7,124,92
new,Unique,remove,random,200000,8,121,96
new,Unique,remove,random,200000,9,112,97
new,Unique,remove,random,200000,10,116,97
new,Unique,remove,random,500000,0,409,236
new,Unique,remove,random,500000,1,398,239
new,Unique,remove,random,500000,2,394,237
new,Unique,remove,random,500000,3,405,237
new,Unique,remove,random,500000,4,387,235
new,Unique,remove,random,500000,5,386,237
new,Unique,remove,random,500000,6,386,233
new,Unique,remove,random,500000,7,391,236
new,Unique,remove,random,500000,8,383,237
new,Unique,remove,random,500000,9,382,236
new,Unique,remove,random,500000,10,381,235
new,nonUnique,insert,random,100000,0,275,490
new,nonUnique,insert_write,random,100000,0,128,490
new,nonUnique,insert,random,100000,1,48,490
new,nonUnique,insert_write,random,100000,1,99,490
new,nonUnique,insert,random,100000,2,58,490
new,nonUnique,insert_write,random,100000,2,99,490
new,nonUnique,insert,random,100000,3,36,490
new,nonUnique,insert_write,random,100000,3,98,490
new,nonUnique,insert,random,100000,4,37,490
new,nonUnique,insert_write,random,100000,4,97,490
